operator,count_in_subsuming
LT2NE,0
S2A,0
GT2LT,0
GT2NE,1
GT2LE,0
LT2EQ,0
LT2GE,0
LT2LE,0
LE2EQ,1
CSWAP,0
A2DV,1
F2E,1
E2F,0
EQ2LE,0
C2D,0
NE2GT,0
LT2GT,0
GT2EQ,1
NE2EQ,0
NE2LE,0
NE2LT,0
LE2GE,1
EQ2GT,0
EQ2NE,0
LE2NE,1
LE2GT,1
EQ2LT,0
D2C,1
A2M,1
A2S,1
S2M,1
LE2LT,1
S2DV,0
