operator,subsuming,subsumed,duplicated,alive
LT2NE,0,0,0,1
S2A,0,0,0,1
GT2LT,0,1,3,0
GT2LE,0,0,4,0
LT2EQ,0,0,1,0
LT2GE,0,0,1,0
CSWAP,0,0,1,0
F2E,0,3,1,0
E2F,0,0,1,0
A2DV,1,3,1,0
EQ2LE,0,0,1,0
NE2GT,0,0,1,0
C2D,1,0,1,0
LT2GT,0,0,1,0
GT2NE,1,2,1,0
GT2EQ,1,0,3,0
NE2EQ,0,0,1,0
NE2LT,0,0,1,0
LE2EQ,2,1,1,0
EQ2NE,0,0,1,0
LE2GE,2,1,1,0
LE2GT,2,1,1,0
EQ2LT,0,0,1,0
D2C,1,0,0,0
LT2LE,0,1,0,0
A2M,2,3,0,0
A2S,2,3,0,0
EQ2GT,0,1,0,0
LE2LT,0,4,0,0
S2M,0,1,0,0
S2DV,0,1,0,0
NE2LE,0,1,0,0
LE2NE,1,3,0,0
